Plate #	Row	Column	ORF
2	H	24	YAL056W
2	I	1	YBR238C
2	I	2	YHR182W
2	I	3	YLR219W
2	I	4	YLR277C
2	I	5	YDR333C
2	I	6	YJL033W
2	I	7	YLR362W
2	I	8	YGL120C
2	I	9	YGR128C
2	I	10	YJL090C
2	I	11	YHL032C
2	I	12	YOR267C
2	I	13	YKR090W
2	I	14	YDL164C
2	I	15	YMR186W
2	I	16	YDR138W
2	I	17	YDR221W
2	I	18	YGL086W
2	I	19	YDR108W
2	I	20	YDL234C
2	I	21	YMR246W
2	I	22	YMR078C
2	I	23	YML016C
2	I	24	YHR149C
2	J	1	YOR133W
2	J	2	YER151C
2	J	3	YML029W
2	J	4	YNL082W
2	J	5	YDL056W
2	J	6	YML093W
2	J	7	YBR133C
2	J	8	YBL014C
2	J	9	YHR205W
2	J	10	YER070W
2	J	11	YGR198W
2	J	12	YGR238C
2	J	13	YMR309C
2	J	14	YLL013C
2	J	15	YOR162C
2	J	16	YCR030C
2	J	17	YLR182W
2	J	18	YER069W
2	J	19	YPL045W
2	J	20	YPR105C
2	J	21	YOR353C
2	J	22	YDL040C
2	J	23	YGR200C
2	J	24	YNL126W
2	K	1	YJL082W
2	K	2	YMR016C
2	K	3	YKL135C
2	K	4	YER171W
2	K	5	YHR031C
2	K	6	YKL134C
2	K	7	YKL213C
2	K	8	BLANK
2	K	9	YCL057W
2	K	10	YLR114C
2	K	11	YLR440C
2	K	12	YOR337W
2	K	13	YNL021W
2	K	14	YNL059C
2	K	15	YBR131W
2	K	16	YFR009W
2	K	17	YOR033C
2	K	18	YLL029W
2	K	19	YLR452C
2	K	20	YJL099W
2	K	21	YPR008W
2	K	22	YKL054C
2	K	23	YMR224C
2	K	24	YIL078W
2	L	1	YDR505C
2	L	2	YGL141W
2	L	3	BLANK
2	L	4	YNL313C
2	L	5	YGL073W
2	L	6	YGL163C
2	L	7	YIL107C
2	L	8	YDR096W
2	L	9	YHR172W
2	L	10	YGL014W
2	L	11	YLR222C
2	L	12	YJL078C
2	L	13	YDR258C
2	L	14	YNL325C
2	L	15	YPL207W
2	L	16	YDR089W
2	L	17	YGL139W
2	L	18	YKR064W
2	L	19	YCR077C
2	L	20	YGR071C
2	L	21	YBR114W
2	L	22	YDR369C
2	L	23	YLR319C
2	L	24	YBR202W
2	M	1	YKL112W
2	M	2	YGR250C
2	M	3	YOR156C
2	M	4	YDR324C
2	M	5	YGR178C
2	M	6	YLR131C
2	M	7	YOR022C
2	M	8	BLANK
2	M	9	YDR211W
2	M	10	YHR197W
2	M	11	YPL240C
2	M	12	YBL084C
2	M	13	YPL155C
2	M	14	YER098W
2	M	15	YDR052C
2	M	16	YLL008W
2	M	17	YGR266W
2	M	18	YOR034C
2	M	19	YPL116W
2	M	20	YOR299W
2	M	21	YBR169C
2	M	22	YPR185W
2	M	23	YOR354C
2	M	24	YKL168C
2	N	1	YBL008W
2	N	2	YKR089C
2	N	3	YLL034C
2	N	4	YPR160W
2	N	5	YFL024C
2	N	6	YMR066W
2	N	7	YJL087C
2	N	8	YLR382C
2	N	9	YOR195W
2	N	10	YJL070C
2	N	11	YLR337C
2	N	12	YKL073W
2	N	13	YKR099W
2	N	14	YBR281C
2	N	15	YDL122W
2	N	16	YIL066C
2	N	17	YGL234W
2	N	18	YLR001C
2	N	19	YER169W
2	N	20	YAR044W
2	N	21	YBR172C
2	N	22	YLR127C
2	N	23	YDR239C
2	N	24	YPL084W
2	O	1	YER040W
2	O	2	YBR001C
2	O	3	YKR018C
2	O	4	YOR165W
2	O	5	YIL091C
2	O	6	BLANK
2	O	7	YFL047W
2	O	8	BLANK
2	O	9	BLANK
2	O	10	YNL311C
2	O	11	YDL176W
2	O	12	BLANK
2	O	13	YBL035C
2	O	14	YER162C
2	O	15	YEL011W
2	O	16	YDR001C
2	O	17	YLR266C
2	O	18	YOR081C
2	O	19	YIL108W
2	O	20	YCL039W
2	O	21	YDR234W
2	O	22	YPL029W
2	O	23	YPR175W
2	O	24	YEL053C
2	P	1	YHR131C
2	P	2	YGL036W
2	P	3	YOR018W
2	P	4	YDR006C
2	P	5	YPR029C
2	P	6	YER047C
2	P	7	YLR263W
2	P	8	YPL249C
2	P	9	YPL153C
2	P	10	YLR045C
2	P	11	YGR130C
2	P	12	YOR141C
2	P	13	BLANK
2	P	14	YDR186C
2	P	15	YOR168W
2	P	16	BLANK
2	P	17	YPL190C
2	P	18	YMR165C
2	P	19	YFL023W
2	P	20	YDR416W
2	P	21	YDR034C
2	P	22	YER167W
2	P	23	YFR013W
2	P	24	YIL143C
3	A	1	YNL225C
3	A	2	YBR060C
3	A	3	YDR463W
3	A	4	YPR155C
3	A	5	YGR171C
3	A	6	YPL194W
3	A	7	YGR088W
3	A	8	YMR168C
3	A	9	YPR145W
3	A	10	YOL148C
3	A	11	YLR253W
3	A	12	YGL125W
3	A	13	YLR417W
3	A	14	YLR060W
3	A	15	YJR103W
3	A	16	YNL308C
3	A	17	YDR261C
3	A	18	YOR027W
3	A	19	YPR072W
3	A	20	YIL036W
3	A	21	YDR131C
3	A	22	YMR291W
3	A	23	YDR479C
3	A	24	YML070W
3	B	1	YDR389W
3	B	2	YIL144W
3	B	3	YLR103C
3	B	4	YJR110W
3	B	5	YDR014W
3	B	6	YIL105C
3	B	7	YER049W
3	B	8	YKL017C
3	B	9	YMR313C
3	B	10	YHL029C
3	B	11	YDR266C
3	B	12	YMR232W
3	B	13	YDR390C
3	B	14	YDR362C
3	B	15	YIL092W
3	B	16	YMR032W
3	B	17	YOR356W
3	B	18	YJL057C
3	B	19	YLR177W
3	B	20	YDR458C
3	B	21	YKR008W
3	B	22	YOR275C
3	B	23	YDL203C
3	B	24	YLR369W
3	C	1	YBR170C
3	C	2	YDL025C
3	C	3	YER165W
3	C	4	YMR092C
3	C	5	YHR037W
3	C	6	YDR350C
3	C	7	YLL012W
3	C	8	YML071C
3	C	9	YIL150C
3	C	10	YOR108W
3	C	11	YMR105C
3	C	12	YJL201W
3	C	13	YNR023W
3	C	14	YJL069C
3	C	15	YPR111W
3	C	16	YOL066C
3	C	17	YKR072C
3	C	18	YDR243C
3	C	19	YDL106C
3	C	20	YNL094W
3	C	21	YER140W
3	C	22	YMR036C
3	C	23	YBR163W
3	C	24	YNL076W
3	D	1	YJL209W
3	D	2	YDL141W
3	D	3	YML007W
3	D	4	YPL222W
3	D	5	YIL101C
3	D	6	YLR399C
3	D	7	YGL124C
3	D	8	YLR153C
3	D	9	YGL060W
3	D	10	YIR003W
3	D	11	YJR130C
3	D	12	YOL023W
3	D	13	YNL176C
3	D	14	YNL103W
3	D	15	YNL293W
3	D	16	YNL008C
3	D	17	YHL038C
3	D	18	YBR260C
3	D	19	YER080W
3	D	20	YLR002C
3	D	21	YNL299W
3	D	22	YLR299W
3	D	23	YFL049W
3	D	24	YPR161C
3	E	1	YMR282C
3	E	2	YDL063C
3	E	3	YGR278W
3	E	4	YDL229W
3	E	5	YHR196W
3	E	6	YKR084C
3	E	7	YOL027C
3	E	8	YFL002C
3	E	9	YKL088W
3	E	10	YLR353W
3	E	11	YGR241C
3	E	12	YPL169C
3	E	13	YOR023C
3	E	14	YMR198W
3	E	15	YBR286W
3	E	16	YMR213W
3	E	17	YLR286C
3	E	18	YGL252C
3	E	19	YGL244W
3	E	20	YNL218W
3	E	21	YML023C
3	E	22	YHL039W
3	E	23	YOR372C
3	E	24	YOL115W
3	F	1	YPR190C
3	F	2	YGL071W
3	F	3	YBL075C
3	F	4	YBL060W
3	F	5	YNL167C
3	F	6	YDR172W
3	F	7	YPL269W
3	F	8	YLR403W
3	F	9	YDL113C
3	F	10	YKL025C
3	F	11	YLL024C
3	F	12	YOR243C
3	F	13	YAL016W
3	F	14	YLR330W
3	F	15	YOR181W
3	F	16	YBL051C
3	F	17	YML046W
3	F	18	YEL007W
3	F	19	YIL055C
3	F	20	YNR053C
3	F	21	YEL062W
3	F	22	YML056C
3	F	23	YAL047C
3	F	24	YDR496C
3	G	1	YBL039C
3	G	2	YGR013W
3	G	3	YER086W
3	G	4	YLR206W
3	G	5	YNL251C
3	G	6	YER036C
3	G	7	YPR137W
3	G	8	YPL005W
3	G	9	YOR128C
3	G	10	YHR202W
3	G	11	YKR002W
3	G	12	YPL243W
3	G	13	YPR070W
3	G	14	YNL039W
3	G	15	YCR054C
3	G	16	YMR227C
3	G	17	YPL128C
3	G	18	YKL185W
3	G	19	YDR358W
3	G	20	YOR154W
3	G	21	YOR205C
3	G	22	YHR108W
3	G	23	YGL076C
3	G	24	YKL012W
3	H	1	YOR147W
3	H	2	YDR332W
3	H	3	YBR123C
3	H	4	YDR444W
3	H	5	YPL093W
3	H	6	YLR143W
3	H	7	YDR398W
3	H	8	YJL034W
3	H	9	YGL099W
3	H	10	YKL179C
3	H	11	YAL011W
3	H	12	YPL089C
3	H	13	YDR380W
3	H	14	YNL045W
3	H	15	BLANK
3	H	16	YDR320C
3	H	17	YMR106C
3	H	18	YJL010C
3	H	19	YKL125W
3	H	20	YOR350C
3	H	21	YER147C
3	H	22	YER173W
3	H	23	YHR206W
3	H	24	YKL079W
3	I	1	YHR194W
3	I	2	YNL104C
3	I	3	YIR010W
3	I	4	YNL209W
3	I	5	YPR006C
3	I	6	YGL116W
3	I	7	YGR092W
3	I	8	YGR103W
3	I	9	YDR026C
3	I	10	YLR055C
3	I	11	YOR118W
3	I	12	YKL032C
3	I	13	YBR263W
3	I	14	YDR101C
3	I	15	YGR087C
3	I	16	YNL227C
3	I	17	YGL064C
3	I	18	YPL007C
3	I	19	YEL058W
3	I	20	YOR308C
3	I	21	YDR474C
3	I	22	YJR016C
3	I	23	YLR433C
3	I	24	YPL208W
3	J	1	YDR118W
3	J	2	YBL067C
3	J	3	YDL224C
3	J	4	YER022W
3	J	5	YGL107C
3	J	6	YOR249C
3	J	7	YAL005C
3	J	8	YBR117C
3	J	9	YIL046W
3	J	10	YJL101C
3	J	11	YDL070W
3	J	12	YBR216C
3	J	13	YEL060C
3	J	14	YOR138C
3	J	15	YDR049W
3	J	16	YGL113W
3	J	17	YNR038W
3	J	18	YLL007C
3	J	19	YDR228C
3	J	20	YDR307W
3	J	21	YGL110C
3	J	22	YHR015W
3	J	23	YMR278W
3	J	24	YLR234W
3	K	1	YPR083W
3	K	2	YNL061W
3	K	3	YLR196W
3	K	4	YMR098C
3	K	5	YJL071W
3	K	6	YLR248W
3	K	7	YGR124W
3	K	8	YDR200C
3	K	9	YDR120C
3	K	10	YMR284W
3	K	11	YPL030W
3	K	12	YDR144C
3	K	13	YJR052W
3	K	14	YCR088W
3	K	15	YLR044C
3	K	16	YOR073W
3	K	17	YEL020C
3	K	18	YDL174C
3	K	19	YFR037C
3	K	20	YDL227C
3	K	21	YJL153C
3	K	22	YKR078W
3	K	23	YMR258C
3	K	24	YDR440W
3	L	1	YGR083C
3	L	2	YBR259W
3	L	3	YIL155C
3	L	4	YLR117C
3	L	5	YPL210C
3	L	6	YPL043W
3	L	7	YCR038C
3	L	8	YKL126W
3	L	9	YIL056W
3	L	10	YNL027W
3	L	11	YNL020C
3	L	12	YDR295C
3	L	13	YGL023C
3	L	14	YER088C
3	L	15	YDR419W
3	L	16	YJL128C
3	L	17	YOR239W
3	L	18	YDR194C
3	L	19	YHR166C
3	L	20	YFR048W
3	L	21	YMR119W
3	L	22	YKR036C
3	L	23	YNR006W
3	L	24	YJR098C
3	M	1	YML017W
3	M	2	YPR081C
3	M	3	YNL073W
3	M	4	YPL070W
3	M	5	YJR053W
3	M	6	YDL080C
3	M	7	YHR064C
3	M	8	YJR046W
3	M	9	YKL127W
3	M	10	YOR324C
3	M	11	YDL003W
3	M	12	YDR349C
3	M	13	YOR386W
3	M	14	YMR120C
3	M	15	YLR134W
3	M	16	YDR294C
3	M	17	YGR166W
3	M	18	YER068W
3	M	19	YLL018C
3	M	20	YGR068C
3	M	21	YLR343W
3	M	22	YMR250W
3	M	23	YBR030W
3	M	24	YLR133W
3	N	1	YLR429W
3	N	2	YER077C
3	N	3	YML082W
3	N	4	YLR260W
3	N	5	YLR289W
3	N	6	YBL024W
3	N	7	YDR311W
3	N	8	YPR074C
3	N	9	YJL127C
